R	K	Score0	Score
0	0	12016.440504523513	33.820272518602536
0	1	2570.598105646448	24.831031894151764
0	2	861.6805701000989	17.464284165251694
0	3	3107.535402589849	25.810192400693143
0	4	1454.906067809867	31.7789597944937
0	5	1980.318696433747	22.060913926700213
0	6	1692.7179122980406	26.745525261227662
0	7	1969.6703586957844	27.73797697160854
0	8	4543.344666124414	31.766095251822296
0	9	15752.975620927422	33.50878275371793
0	10	404.10611333817184	14.40612689635957
0	11	5288.644566410028	30.50039234640992
1	0	3094.5134140080168	30.614457890413473
1	1	6079.196269320523	32.4196979014817
1	2	1975.914542987373	28.165198375762298
1	3	6627.229668921719	31.892308504263504
1	4	3553.680833107141	25.39555154487372
1	5	1429.5088920056871	32.652545101309315
1	6	1610.9042034427555	23.386548214354363
1	7	495.1992565561023	14.032560801263603
1	8	11473.938102612858	32.850776222848936
1	9	10146.805937954676	34.374884538021014
1	10	3588.5952893348062	29.97541308744598
1	11	2053.0922891232185	21.750511872403514
2	0	2469.123675382053	28.829371638021623
2	1	3159.150659162006	32.59737301402538
2	2	2317.6867575244014	32.251149987727246
2	3	521.9234742279531	8.588966627498532
2	4	517.6070270702057	12.922404323134964
2	5	3353.3610414207847	32.92629449740577
2	6	3157.345021604693	30.57367741405545
2	7	4045.4258082020738	20.688322407851658
2	8	7057.011500242056	31.897831484622635
2	9	10235.022420500773	33.848504272745174
2	10	13606.809104352547	34.37211828908286
2	11	959.0598465126068	25.496634993204072
3	0	993.186247951857	19.599728698630578
3	1	1868.1639270981188	31.752774327732325
3	2	12246.304187452091	34.72351195411104
3	3	3743.5699274075237	22.29840153921187
3	4	3319.8040392613093	31.209336359252067
3	5	3492.0049359200375	23.623647120699697
3	6	4904.082328329743	32.91465112916949
3	7	5292.145929836259	32.81732191048404
3	8	4506.056978257701	31.36038946004287
3	9	6897.418195266979	30.083724675602326
3	10	3780.490638529181	33.74209079699088
3	11	392.0193590979013	11.709006371978738
4	0	3286.1225159064793	26.280784993151745
4	1	1727.7413153925208	20.867691638374275
4	2	2473.935881242826	27.46456849833999
4	3	5479.018141160674	31.121003330815025
4	4	430.7184751440628	13.093678641203537
4	5	8195.067017832254	32.861942267563734
4	6	2393.2049534300977	32.38488296922168
4	7	341.26522354259424	10.324495048512176
4	8	10858.66282543945	32.448605865026494
4	9	1518.9782607378636	23.908089416540236
4	10	11530.796735681948	33.582279295906545
4	11	3123.045497521535	28.844653923234404
5	0	1572.5249440154987	29.42995414694388
5	1	1147.5403785430492	24.68649409905062
5	2	7982.166632085061	31.88353635903193
5	3	13296.391186678955	33.27571560906356
5	4	4710.735703328131	31.449302489966694
5	5	5046.6463704076505	33.49039649372234
5	6	676.215377580431	15.016428320356377
5	7	7826.016036178975	32.5260585593539
5	8	922.1312599856761	17.1824415807986
5	9	3790.051240714156	24.18644285961366
5	10	3371.2223562565114	25.18898655454197
5	11	696.9695293204447	21.23367485875467
6	0	11319.912277802154	35.006653100597845
6	1	3898.233648415987	32.26956131671167
6	2	2990.8146988213257	29.37567809861591
6	3	10142.72437533195	33.70010325631432
6	4	6314.730706958263	32.821434292530924
6	5	1233.9727804542194	19.81486668603262
6	6	378.08612056728697	11.062842001973648
6	7	3882.6199996914056	27.65024560492937
6	8	1711.8665353315475	26.869052183796036
6	9	2149.9615384445497	31.053452401134578
6	10	3354.7056335376124	26.122273258491788
6	11	3629.1259825012485	20.68883307009405
7	0	11496.084412046746	32.17466034253595
7	1	2613.41999694002	31.748368095231843
7	2	3023.622296136697	32.77137411073212
7	3	2707.105348454675	30.76460697845482
7	4	417.32459448485736	8.972785949577359
7	5	4053.861242907724	24.357988553548704
7	6	1963.0693811884403	29.24796943335297
7	7	2268.5439384007113	25.268945269707526
7	8	3077.1753367185725	31.74452398496287
7	9	12840.799620658587	33.153286843107075
7	10	2289.895673941764	26.546017911545015
7	11	3826.0625593212603	25.043438844977235
8	0	1600.3729646848305	30.07460156629023
8	1	773.8517971471789	16.655248853210722
8	2	2883.148555939809	25.92320970720107
8	3	2126.40834876137	32.55449383348694
8	4	18462.1111335615	32.73990140275823
8	5	2023.5382509464484	31.33311733801706
8	6	9247.581183723294	34.25623272818664
8	7	3371.380132526088	30.31667365677893
8	8	4076.0338588907066	30.761379807164424
8	9	1209.2644184945548	27.8825576766607
8	10	3206.970220664827	25.401235245627902
8	11	4132.578835037627	33.05629896486157
9	0	7594.107681242434	32.03012032631845
9	1	3877.651760213581	23.770942768178717
9	2	713.0764778600914	12.437144061082579
9	3	602.324013727687	13.127879713084104
9	4	14915.70344060228	33.853257112050684
9	5	2655.514649277093	30.74225974532585
9	6	559.0959086629352	15.177849052769416
9	7	7385.964248324412	32.89281513850946
9	8	2084.1618371375303	28.18279155737946
9	9	5911.844618263951	34.73330550212869
9	10	645.661738528404	20.874061613854252
9	11	3572.663773266597	24.451078644983305
